backend,model,command_id,command_text,request_success,latency_ms,parse_success,json_valid,schema_valid,safety_result,semantic_validity,estimated_cost_usd,privacy_score,offline_resilience_score,cloud_baseline_status,notes
cloud,gpt-4o-mini,C01,Pick up the medicine cup,True,1470.11,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C02,Place the pill box on the tray,True,873.78,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C03,Move the gauze pack to the left zone,True,860.67,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C04,Pick up the pill box,True,1100.27,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C05,Place the medicine cup in the handover zone,True,929.2,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C06,Open the gripper,True,1508.94,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C07,Reset the robot,True,1064.57,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C08,Describe the scene,True,5751.47,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C09,Move the tray to the right zone,True,1421.02,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
cloud,gpt-4o-mini,C10,Pick up the gauze pack and place it on the tray,True,2018.74,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,LOWER_EXTERNAL_API_DEPENDENCY,LOW_REQUIRES_NETWORK,COMPLETE,
